source,metric,occ_level,stem_group,stem_class,occ_code_raw,geo_country,geo_region,period,value,unit,snapshot,country,region,company,title,created
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Andhra Pradesh, India",2026-07,97,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Dadra and Nagar Haveli, India",2026-07,95,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Punjab, India",2026-07,56,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Jharkhand, India",2026-07,41,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Orissa, India",2026-07,36,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Chandigarh, India",2026-07,28,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Himachal Pradesh, India",2026-07,26,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Uttarakhand, India",2026-07,24,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Goa, India",2026-07,23,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Assam, India",2026-07,21,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Bihar, India",2026-07,20,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Daman and Diu, India",2026-07,13,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Puducherry, India",2026-07,13,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Andaman and Nicobar Islands, India",2026-07,3,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Jammu and Kashmir, India",2026-07,3,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Arunachal Pradesh, India",2026-07,1,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Karnataka, India",2026-07,468,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Telangana, India",2026-07,408,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Maharashtra, India",2026-07,393,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Gujarat, India",2026-07,308,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Tamil Nadu, India",2026-07,128,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Delhi, India",2026-07,80,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Chhattisgarh, India",2026-07,55,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"West Bengal, India",2026-07,54,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,"Haryana, India",2026-07,40,count,2026-07-10T22:47:28.528198+00:00,,,,,
